date,time,temperature,humidity,luminosity
2021-11-4,22:00:00,21.4,35.6,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.8,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.8,very bright
2021-11-4,22:00:00,21.5,35.8,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,very bright
2021-11-4,22:00:00,21.5,35.7,bright
2021-11-4,22:00:00,21.5,35.8,bright
2021-11-4,22:00:00,21.4,35.7,bright
2021-11-4,22:00:00,21.5,35.7,bright
2021-11-4,22:00:00,21.5,35.7,bright
2021-11-4,22:00:00,21.5,35.7,bright
2021-11-4,23:00:00,21.5,35.7,bright
2021-11-4,23:00:00,21.5,35.7,bright
2021-11-4,23:00:00,21.5,35.7,bright
2021-11-4,23:00:00,21.5,35.8,bright
2021-11-4,23:00:00,21.4,35.7,bright
2021-11-4,23:00:00,21.5,35.7,bright
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,35.6,pitch black
2021-11-4,23:00:00,21.5,35.6,pitch black
2021-11-4,23:00:00,21.4,35.6,pitch black
2021-11-4,23:00:00,21.4,35.6,pitch black
2021-11-4,23:00:00,21.4,35.6,pitch black
2021-11-4,23:00:00,21.4,35.6,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.4,35.6,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,35.6,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.4,35.7,pitch black
2021-11-4,23:00:00,21.5,35.6,pitch black
2021-11-4,23:00:00,21.5,35.7,pitch black
2021-11-4,23:00:00,21.5,37.2,pitch black
2021-11-4,23:00:00,21.5,37.2,pitch black
2021-11-4,23:00:00,21.5,37.2,pitch black
2021-11-4,23:00:00,21.5,29.9,pitch black
2021-11-4,23:00:00,21.5,37.2,pitch black
2021-11-4,23:00:00,21.5,37.2,pitch black
2021-11-4,23:00:00,21.4,37.2,pitch black
2021-11-4,23:00:00,21.5,33.2,pitch black
2021-11-4,23:00:00,21.5,33.2,pitch black
2021-11-4,23:00:00,21.5,33.2,pitch black
2021-11-4,23:00:00,21.5,34.9,pitch black
2021-11-4,23:00:00,21.5,35.1,pitch black
2021-11-4,23:00:00,21.5,35.0,pitch black
2021-11-4,23:00:00,21.5,35.0,pitch black
2021-11-4,23:00:00,21.4,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.0,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.2,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,37.4,pitch black
2021-11-5,0:00:00,21.5,27.2,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
2021-11-5,0:00:00,21.5,35.1,pitch black
